ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,DEP_HOUR,total_flights,delay_rate
10140,13487,7,29,3.4482758620689653
10140,13487,13,1,100.0
10140,13796,10,23,0.0
10140,13796,11,7,57.14285714285714
10140,13930,5,24,4.166666666666666
10140,13930,6,3,33.33333333333333
10140,13930,7,1,100.0
10140,13930,8,26,7.6923076923076925
10140,13930,9,1,100.0
10140,13930,10,1,100.0
10140,13930,11,2,100.0
10140,13930,12,49,4.081632653061225
10140,13930,13,8,62.5
10140,13930,14,1,100.0
10140,13930,15,1,100.0
10140,14107,6,19,0.0
10140,14107,7,12,25.0
10140,14107,8,28,10.714285714285714
10140,14107,9,2,50.0
10140,14107,10,8,0.0
10140,14107,11,13,23.076923076923077
10140,14107,12,26,0.0
10140,14107,13,6,33.33333333333333
10140,14107,14,8,0.0
10140,14107,15,29,6.896551724137931
10140,14107,16,18,11.11111111111111
10140,14107,17,12,25.0
10140,14107,18,21,19.047619047619047
10140,14107,19,20,40.0
10140,14107,20,7,42.857142857142854
10140,14107,21,4,100.0
10140,14679,9,10,0.0
10140,14679,10,19,5.263157894736842
10140,14679,13,1,100.0
10140,14679,16,4,50.0
10140,14679,17,6,0.0
10140,14679,18,11,18.181818181818183
10140,14679,19,9,77.77777777777779
10140,14747,7,23,0.0
10140,14747,8,7,0.0
10140,14747,16,15,0.0
10140,14747,17,6,100.0
10140,14771,5,23,0.0
10140,14771,7,2,100.0
10140,14771,9,2,0.0
10140,14771,10,3,33.33333333333333
10140,14771,11,1,100.0
10140,14771,16,26,3.8461538461538463
10140,14771,17,1,100.0
10140,14771,18,1,100.0
10140,14869,5,30,0.0
10140,14869,12,29,0.0
10140,14869,13,1,100.0
10140,14869,17,29,0.0
10140,14869,18,1,100.0
10141,13487,6,27,3.7037037037037033
10141,13487,7,1,100.0
10141,13487,8,1,100.0
10141,13487,12,1,100.0
10141,13487,14,27,0.0
10141,13487,15,2,0.0
10141,13487,17,1,100.0
10146,10397,6,9,0.0
10146,10397,11,12,0.0
10146,10397,12,5,60.0
10146,10397,13,9,0.0
10146,10397,14,2,100.0
10146,10397,17,8,0.0
10146,10397,18,1,100.0
10154,10721,15,2,50.0
10154,10721,17,9,0.0
10154,10721,18,17,88.23529411764706
10154,10721,19,2,100.0
10154,10721,20,2,100.0
10154,11278,10,9,11.11111111111111
10154,11278,11,1,100.0
10154,11278,12,20,35.0
10154,11278,13,2,100.0
10154,11278,17,2,50.0
10154,12197,13,9,0.0
10154,12197,14,19,10.526315789473683
10154,12197,15,1,100.0
